nodeid,name,addr,city,phone,type,eid
1,'arnie morton\'s of chicago','435 s. la cienega blv.','los angeles',310/246-1501,american,0
2,'arnie morton\'s of chicago','435 s. la cienega blvd.','los angeles',310-246-1501,steakhouses,0
3,'art\'s delicatessen','12224 ventura blvd.','studio city',818/762-1221,american,1
4,'art\'s deli','12224 ventura blvd.','studio city',818-762-1221,delis,1
5,'hotel bel-air','701 stone canyon rd.','bel air',310/472-1211,californian,2
6,'bel-air hotel','701 stone canyon rd.','bel air',310-472-1211,californian,2
7,'cafe bizou','14016 ventura blvd.','sherman oaks',818/788-3536,french,3
8,'cafe bizou','14016 ventura blvd.','sherman oaks',818-788-3536,'french bistro',3
9,campanile,'624 s. la brea ave.','los angeles',213/938-1447,american,4
10,campanile,'624 s. la brea ave.','los angeles',213-938-1447,californian,4
11,'chinois on main','2709 main st.','santa monica',310/392-9025,french,5
12,'chinois on main','2709 main st.','santa monica',310-392-9025,'pacific new wave',5
13,citrus,'6703 melrose ave.','los angeles',213/857-0034,californian,6
14,citrus,'6703 melrose ave.','los angeles',213-857-0034,californian,6
15,fenix,'8358 sunset blvd. west',hollywood,213/848-6677,american,7
16,'fenix at the argyle','8358 sunset blvd.','w. hollywood',213-848-6677,'french (new)',7
17,granita,'23725 w. malibu rd.',malibu,310/456-0488,californian,8
18,granita,'23725 w. malibu rd.',malibu,310-456-0488,californian,8
19,'grill on the alley','9560 dayton way','los angeles',310/276-0615,american,9
20,'grill  the','9560 dayton way','beverly hills',310-276-0615,'american (traditional)',9
21,'restaurant katsu','1972 n. hillhurst ave.','los angeles',213/665-1891,asian,10
22,katsu,'1972 hillhurst ave.','los feliz',213-665-1891,japanese,10
23,'l\'orangerie','903 n. la cienega blvd.','los angeles',310/652-9770,french,11
24,'l\'orangerie','903 n. la cienega blvd.','w. hollywood',310-652-9770,'french (classic)',11
25,'le chardonnay','8284 melrose ave.','los angeles',213/655-8880,french,12
26,'le chardonnay (los angeles)','8284 melrose ave.','los angeles',213-655-8880,'french bistro',12
27,'locanda veneta','3rd st.','los angeles',310/274-1893,italian,13
28,'locanda veneta','8638 w. third st.','los angeles',310-274-1893,italian,13
29,matsuhisa,'129 n. la cienega blvd.','beverly hills',310/659-9639,asian,14
30,matsuhisa,'129 n. la cienega blvd.','beverly hills',310-659-9639,seafood,14
31,'the palm','9001 santa monica blvd.','los angeles',310/550-8811,american,15
32,'palm  the (los angeles)','9001 santa monica blvd.','w. hollywood',310-550-8811,steakhouses,15
33,patina,'5955 melrose ave.','los angeles',213/467-1108,californian,16
34,patina,'5955 melrose ave.','los angeles',213-467-1108,californian,16
35,'philippe\'s the original','1001 n. alameda st.','los angeles',213/628-3781,american,17
36,'philippe the original','1001 n. alameda st.',chinatown,213-628-3781,cafeterias,17
37,'pinot bistro','12969 ventura blvd.','los angeles',818/990-0500,french,18
38,'pinot bistro','12969 ventura blvd.','studio city',818-990-0500,'french bistro',18
39,'rex il ristorante','617 s. olive st.','los angeles',213/627-2300,italian,19
40,'rex il ristorante','617 s. olive st.','los angeles',213-627-2300,'nuova cucina italian',19
41,spago,'1114 horn ave.','los angeles',310/652-4025,californian,20
42,'spago (los angeles)','8795 sunset blvd.','w. hollywood',310-652-4025,californian,20
